    Fid,Gender,Age,AttendanceRate,GPA,Major,University,Studentname,Institution_Type,Year
10.42.0.42-74.125.196.94-38534-443-6,Female,23,70.64,3.26,Arts,"Stanford University, USA",Aria Nelson,Private,2023
203.205.190.40-10.42.0.42-80-52495-6,Male,23,85.25,3.22,Science,"Harvard University, USA",Ethan Carter,Private,2023
10.42.0.211-98.139.183.24-36231-443-6,Female,21,79.91,3.13,Arts,"Harvard University, USA",Oliver Green,Private,2023
172.217.6.234-10.42.0.151-443-33403-6,Female,20,72.98,2.76,Science,"Harvard University, USA",Harper Jones,Private,2023
162.208.22.39-10.42.0.151-443-52703-6,Male,24,53.8,3.1,Arts,"Stanford University, USA",David Martin,Public,2023
10.42.0.151-14.204.144.144-33144-80-6,Female,24,53.89,3.19,Education,"Stanford University, USA",Avery Green,Private,2023
180.149.153.68-10.42.0.211-80-40323-6,Male,21,50.12,3.09,Education,"Harvard University, USA",Aiden Wood,Private,2023
10.42.0.211-23.15.4.11-52529-80-6,Female,19,98.38,2.89,Education,"Harvard University, USA",Jackson Anderson,Public,2023
182.22.24.124-10.42.0.211-443-53911-6,Male,19,50.26,2.03,Business,"Stanford University, USA",Scarlett Lee,Private,2023
10.42.0.151-104.244.42.194-38904-443-6,Female,24,55.15,3.17,Engineering,"Stanford University, USA",Lucas Johnson,Private,2023
10.42.0.151-10.42.0.1-9196-53-17,Female,24,65.73,2.34,Education,"Massachusetts Institute of Technology (MIT), USA",Madison Davis,Public,2023
10.42.0.211-14.29.93.254-34945-80-6,Male,23,90.37,3.29,Science,"Harvard University, USA",Nicholas Jones,Private,2023
10.42.0.151-10.42.0.1-38927-53-17,Male,20,98.1,3.52,Education,"Stanford University, USA",Evelyn Stewart,Private,2023
10.42.0.211-69.147.64.33-49561-443-6,Male,18,89.5,3,Business,"Stanford University, USA",Benjamin Richardson,Public,2023
172.217.10.138-10.42.0.42-443-45730-6,Male,19,84.53,3.08,Science,"Harvard University, USA",Charlotte Walker,Private,2023
10.42.0.211-10.42.0.1-16282-53-17,Male,24,76.07,3.9,Business,"Harvard University, USA",Samuel Scott,Public,2023
152.163.56.2-10.42.0.151-443-58034-6,Male,23,54.34,3.69,Science,"Stanford University, USA",William Rodriguez,Private,2023
10.42.0.211-66.102.255.44-59333-443-6,Male,22,97.91,3.83,Arts,"Harvard University, USA",Emily Carter,Private,2023
219.142.78.217-10.42.0.211-80-48862-6,Male,23,87.92,3.63,Engineering,"Harvard University, USA",Carter Hall,Private,2023
198.11.132.221-10.42.0.211-443-52880-6,Female,19,81.95,2.22,Engineering,"Harvard University, USA",Alexander Moore,Public,2023
172.217.10.234-10.42.0.42-443-52674-6,Female,19,87.95,2.3,Business,"Massachusetts Institute of Technology (MIT), USA",Emma Wilson,Private,2023
10.42.0.211-104.88.89.135-33362-443-6,Male,23,86.21,3.05,Engineering,"Harvard University, USA",Mia Young,Public,2023
10.42.0.211-10.42.0.1-56298-53-17,Female,18,81.86,2.49,Business,"Stanford University, USA",Aria Evans,Public,2023
10.42.0.211-106.39.169.66-51885-80-6,Female,21,99.03,2.95,Business,"Harvard University, USA",Layla Phillips,Private,2023
172.217.11.2-10.42.0.211-443-34472-6,Female,19,95.17,2.79,Business,"Massachusetts Institute of Technology (MIT), USA",Matthew Lewis,Public,2023
10.42.0.151-10.42.0.1-47394-53-17,Female,23,82.33,3.1,Engineering,"Harvard University, USA",Noah Jenkins,Public,2023
216.58.219.238-10.42.0.211-443-38396-6,Male,24,84.66,3.49,Business,"Harvard University, USA",Camila Hayes,Public,2023
172.217.10.33-10.42.0.42-443-43726-6,Female,23,52.58,3.43,Engineering,"Stanford University, USA",Logan Turner,Private,2023
10.42.0.211-10.42.0.1-31907-53-17,Male,20,83.5,3.04,Business,"Harvard University, USA",Lily Miller,Private,2023
10.42.0.42-117.121.27.10-59191-80-6,Female,21,52.21,3.64,Education,"Harvard University, USA",Mia Perez,Private,2023
10.42.0.42-52.84.137.241-35720-443-6,Female,22,79.41,2.86,Business,"Stanford University, USA",Zoey Rivera,Private,2023
10.42.0.151-111.206.25.159-40958-80-6,Female,18,99.97,3.79,Science,"Stanford University, USA",Sophia King,Public,2023
10.42.0.211-10.42.0.1-24440-53-17,Male,22,77.79,2.14,Business,"Harvard University, USA",Grace Cooper,Private,2023
172.217.9.227-10.42.0.151-443-54370-6,Female,21,73.66,3.91,Arts,"Stanford University, USA",Chloe Williams,Private,2023
10.42.0.211-10.42.0.1-46206-53-17,Male,21,65.64,3.31,Business,"Harvard University, USA",Ella Bailey,Private,2023
10.42.0.211-77.234.44.40-42384-80-6,Female,21,56.03,2.76,Science,"Stanford University, USA",Harper Nelson,Private,2023
175.100.207.232-10.42.0.42-443-37579-6,Male,22,86.55,2.39,Science,"Harvard University, USA",Henry Baker,Private,2023
172.217.6.195-10.42.0.211-443-40731-6,Female,24,59.63,2.96,Engineering,"Harvard University, USA",Andrew Gonzalez,Public,2023
172.217.9.234-10.42.0.151-443-34004-6,Male,21,55.76,2.39,Education,"Stanford University, USA",Amelia Harris,Private,2023
183.79.248.252-10.42.0.211-443-44389-6,Male,23,71.09,2.33,Business,"Harvard University, USA",Abigail Robinson,Private,2023
182.22.25.124-10.42.0.151-443-56817-6,Female,22,89.77,3.23,Engineering,"Harvard University, USA",Harper Jackson,Private,2023
172.217.9.234-10.42.0.211-443-37658-6,Male,21,87.25,3.05,Education,"Massachusetts Institute of Technology (MIT), USA",Michael White,Private,2023
8.0.6.4-8.6.0.1-0-0-0,Female,23,52.74,3.34,Business,"University of Oxford, UK",Daniel Brown,Private,2023
10.42.0.211-104.193.88.109-53569-80-6,Female,24,72.76,3.86,Arts,"Harvard University, USA",Elijah Thomas,Public,2023
10.42.0.211-98.139.199.205-40148-443-6,Female,20,76.12,3.06,Business,"Harvard University, USA",Liam Thompson,Private,2023
174.35.73.93-10.42.0.151-80-43890-6,Female,24,82.23,3.16,Science,"Harvard University, USA",Joseph Martinez,Private,2023
172.217.11.48-10.42.0.151-443-41752-6,Female,21,82.51,2.18,Science,"Massachusetts Institute of Technology (MIT), USA",James Taylor,Private,2023
10.42.0.1-10.42.0.42-53-41101-17,Female,22,68.23,3.44,Arts,"Massachusetts Institute of Technology (MIT), USA",Ava Clark,Private,2023
172.217.3.104-10.42.0.42-443-52092-6,Female,19,78.03,2.8,Engineering,"Harvard University, USA",Gabriel Diaz,Private,2023
10.42.0.42-54.230.39.123-39632-443-6,Female,21,74.05,3.95,Education,"California Institute of Technology (Caltech), USA",Oliver Parker,Private,2023
172.217.9.226-10.42.0.211-443-53444-6,Female,19,94.25,3.65,Business,"Harvard University, USA",Olivia Smith,Private,2023
10.42.0.151-10.42.0.1-44391-5351-17,Female,23,76.51,3.04,Science,"Harvard University, USA",Ethan Adams,Public,2023
172.217.12.138-10.42.0.151-443-43735-6,Female,20,72.05,2.25,Engineering,"Harvard University, USA",Sofia Garcia,Private,2023
205.185.216.42-10.42.0.151-80-53357-6,Male,18,70.22,3.72,Arts,"University of Oxford, UK",Jack Reed,Public,2023
10.42.0.211-10.42.0.1-43523-53-17,Male,24,78.62,3.6,Science,"Harvard University, USA",Henry Gonzalez,Private,2023
173.241.242.143-10.42.0.211-443-47238-6,Female,20,90.2,2.37,Arts,"Harvard University, USA",Jackson Johnson,Private,2023
10.42.0.211-10.42.0.1-14542-53-17,Female,21,76.92,2.59,Business,"California Institute of Technology (Caltech), USA",William Richardson,Private,2023
10.42.0.211-10.42.0.1-14935-53-17,Female,19,83.08,3.59,Education,"Imperial College London, UK",Gabriel Wilson,Private,2023
10.42.0.151-23.101.115.193-52194-443-6,Female,24,86.89,2.37,Science,"University of Oxford, UK",Ava Walker,Private,2023
10.42.0.211-103.235.46.211-43400-443-6,Female,19,76.01,3.84,Science,"Harvard University, USA",Harper Bailey,Public,2023
10.42.0.151-123.125.46.11-46456-80-6,Female,22,71.34,2.85,Business,"Harvard University, USA",Alexander Clark,Private,2023
10.42.0.211-36.110.213.49-39789-443-6,Female,19,93.83,2.17,Engineering,"Stanford University, USA",Michael Evans,Private,2023
182.22.25.124-10.42.0.211-443-54115-6,Female,22,70.88,3.63,Education,"Stanford University, USA",Zoey Jenkins,Private,2023
10.42.0.211-10.42.0.1-18545-53-17,Male,23,73.1,2.75,Science,"Harvard University, USA",Liam Taylor,Private,2023
192.229.163.180-10.42.0.151-443-52892-6,Female,24,99.52,3.05,Education,"University of Oxford, UK",Camila Rivera,Public,2023
203.205.128.137-10.42.0.211-80-47250-6,Male,24,50.01,2.22,Science,"Harvard University, USA",Jack Garcia,Private,2023
172.217.7.227-10.42.0.211-80-42392-6,Female,18,59.27,2.01,Education,"Massachusetts Institute of Technology (MIT), USA",Joseph Parker,Public,2023
203.130.53.126-10.42.0.211-80-39366-6,Female,21,69.2,3.28,Arts,"University of Oxford, UK",Abigail Thomas,Private,2023
206.126.112.142-10.42.0.42-443-40926-6,Male,22,96.63,3.03,Science,"Harvard University, USA",Sophia Carter,Private,2023
209.10.120.26-10.42.0.211-80-34317-6,Female,18,53.5,3.19,Education,"Harvard University, USA",Layla Jackson,Private,2023
10.42.0.151-106.11.94.21-60919-443-6,Male,19,50.47,3.59,Engineering,"Stanford University, USA",Mia Smith,Public,2023
172.217.12.174-10.42.0.211-443-58888-6,Female,19,52.63,3.29,Arts,"Stanford University, USA",Sofia Nelson,Private,2023
10.42.0.42-72.21.206.141-42474-443-6,Female,18,54.43,2.35,Arts,"Stanford University, USA",Elijah Williams,Public,2023
172.217.10.10-10.42.0.42-443-46170-6,Male,24,51.88,2.72,Engineering,"Stanford University, USA",Charlotte Baker,Private,2023
10.42.0.42-65.52.108.74-35325-443-6,Female,19,73.99,3.81,Education,"Stanford University, USA",Benjamin Green,Private,2023
172.217.12.130-10.42.0.211-443-54594-6,Male,23,79.04,3.54,Business,"Harvard University, USA",Matthew Miller,Private,2023
180.163.15.184-10.42.0.211-80-45684-6,Female,23,63.58,3.11,Engineering,"Stanford University, USA",Ella Stewart,Private,2023
172.217.9.225-10.42.0.151-443-33764-6,Male,18,69.91,2.51,Education,"Stanford University, USA",Emily Moore,Private,2023
10.42.0.211-87.240.165.80-39757-80-6,Male,22,54.58,2.6,Engineering,"Harvard University, USA",Noah Martinez,Private,2023
202.77.129.150-10.42.0.211-443-51061-6,Female,22,66.82,3.46,Engineering,"Harvard University, USA",Grace Hall,Private,2023
192.229.173.173-10.42.0.42-443-52970-6,Female,18,76.13,3.7,Science,"University of Oxford, UK",Logan Brown,Public,2023
172.217.9.234-10.42.0.151-443-51029-6,Male,22,86.61,3.34,Education,"Stanford University, USA",Lily Davis,Public,2023
198.11.188.78-10.42.0.211-443-44990-6,Female,24,50.17,3.62,Business,"Massachusetts Institute of Technology (MIT), USA",Amelia Jones,Public,2023
172.217.12.195-10.42.0.151-443-45129-6,Female,24,73.37,3.53,Science,"Harvard University, USA",Carter Wood,Private,2023
10.42.0.211-10.42.0.1-21456-53-17,Female,22,64.85,2.3,Engineering,"Harvard University, USA",Emma Reed,Private,2023
202.77.129.161-10.42.0.211-80-42491-6,Male,23,92.64,2.85,Engineering,"Harvard University, USA",Harper Diaz,Public,2023
10.42.0.211-10.42.0.1-12152-53-17,Male,22,85.78,2.31,Engineering,"Stanford University, USA",Daniel Lee,Private,2023
172.217.11.10-10.42.0.211-443-38107-6,Male,24,79.46,2.47,Education,"Stanford University, USA",David Adams,Public,2023
172.217.10.131-10.42.0.211-443-40571-6,Male,20,63.86,3.74,Education,"Harvard University, USA",James Scott,Private,2023
221.228.208.97-10.42.0.151-80-60712-6,Male,21,95.52,2.95,Science,"Harvard University, USA",Chloe Anderson,Public,2023
10.42.0.211-10.42.0.1-1952-53-17,Male,19,52.26,3.07,Business,"Harvard University, USA",Oliver Turner,Private,2023
10.42.0.211-63.250.200.101-42730-443-6,Male,20,55.47,2.36,Science,"University of Oxford, UK",Scarlett Cooper,Private,2023
10.42.0.151-52.94.232.33-50030-443-6,Male,22,69.58,2.62,Arts,"Stanford University, USA",Mia Young,Private,2023
172.217.12.195-10.42.0.151-443-43323-6,Male,23,56.22,2.46,Engineering,"Harvard University, USA",Olivia White,Private,2023
180.76.174.197-10.42.0.211-80-52217-6,Female,18,97.82,2.41,Engineering,"Stanford University, USA",Lucas Hayes,Private,2023
10.42.0.211-10.42.0.1-53678-53-17,Male,22,89.9,3.28,Engineering,"University of Cambridge, UK",Aria King,Private,2023
169.45.214.243-10.42.0.211-443-36631-6,Female,23,62.95,2.51,Science,"Harvard University, USA",Madison Harris,Private,2023
183.79.248.124-10.42.0.211-443-40421-6,Female,21,79.43,3.26,Science,"University of Oxford, UK",Aiden Thompson,Private,2023
10.42.0.211-104.254.66.16-47380-80-6,Female,22,99.12,2.12,Engineering,"Harvard University, USA",Andrew Phillips,Public,2023
10.42.0.211-10.42.0.1-32460-53-17,Male,24,94.21,2.28,Science,"Harvard University, USA",Evelyn Robinson,Private,2023
10.42.0.151-10.42.0.1-21604-53-17,Male,18,80.04,2.55,Education,"Stanford University, USA",Avery Lewis,Private,2023
10.42.0.151-31.13.71.3-35366-443-6,Male,23,95.19,3.19,Education,"Stanford University, USA",Ethan Martin,Private,2023
10.42.0.211-10.42.0.1-50373-53-17,Male,23,99.46,3.35,Science,"Harvard University, USA",Nicholas Rodriguez,Private,2023
10.42.0.151-10.42.0.1-43443-53-17,Female,23,87.17,2.89,Engineering,"Stanford University, USA",Samuel Perez,Public,2023
172.217.12.194-10.42.0.211-443-47702-6,Male,21,53.25,2.89,Science,"Massachusetts Institute of Technology (MIT), USA",Emily Lee,Private,2023
10.42.0.211-52.84.145.171-58226-443-6,Male,22,70.08,3.45,Science,"Harvard University, USA",Jesse Lawhorn,Public,2023
10.42.0.151-119.146.74.33-38976-443-6,Male,21,91.89,2.03,Science,"Stanford University, USA",Stacy Payne,Private,2023
172.217.3.109-10.42.0.151-443-33396-6,Male,19,61.53,2.68,Arts,"Harvard University, USA",Katrina Nicewander,Private,2023
10.42.0.211-10.42.0.1-26449-53-17,Male,19,91.53,3.64,Education,"Massachusetts Institute of Technology (MIT), USA",Eric Yarbrough,Private,2023
211.103.34.111-10.42.0.211-8080-60439-6,Female,22,56.02,3.21,Business,"Harvard University, USA",Daniel Adkins,Public,2023
172.217.3.110-10.42.0.42-443-55146-6,Male,24,52.35,2.67,Business,"Harvard University, USA",Diane Jara,Private,2023
203.205.160.20-10.42.0.151-80-53322-6,Female,21,69.2,3.81,Arts,"Stanford University, USA",Sheryl Morgan,Public,2023
10.42.0.211-64.71.142.96-60177-443-6,Male,18,51.84,3.55,Science,"Harvard University, USA",William Harper,Private,2023
172.217.12.138-10.42.0.42-443-54673-6,Female,23,97.86,2.53,Arts,"Harvard University, USA",Virginia Varron,Private,2023
172.217.10.14-10.42.0.151-443-50221-17,Male,23,91.31,3.29,Arts,"Stanford University, USA",Charles Figueroa,Private,2023
172.217.10.142-10.42.0.211-443-44265-6,Male,22,90.04,3.19,Engineering,"Stanford University, USA",Paul Chain,Private,2023
10.42.0.151-121.12.98.64-59148-80-6,Female,24,81.49,2.8,Education,"Harvard University, USA",Christina Parker,Public,2023
172.217.11.42-10.42.0.211-443-55640-6,Female,19,60.82,2.73,Business,"Stanford University, USA",Jack Freeman,Public,2023
140.205.62.20-10.42.0.211-80-36819-6,Female,19,75.91,2.69,Science,"Harvard University, USA",Wayne Fasano,Public,2023
202.77.129.150-10.42.0.211-443-41525-6,Male,23,79.86,3.23,Business,"Stanford University, USA",Homer Maxwell,Private,2023
209.10.120.26-10.42.0.211-80-33938-6,Female,22,76.25,2.88,Business,"Harvard University, USA",Frank Holmes,Public,2023
10.42.0.42-115.239.210.141-47688-80-6,Male,21,63.01,3.66,Education,"Harvard University, USA",Donald Zeller,Public,2023
209.10.120.26-10.42.0.211-80-38896-6,Male,19,75.76,3.34,Business,"Stanford University, USA",Sheldon Wentz,Private,2023
198.11.132.178-10.42.0.211-443-48328-6,Female,21,74.56,2.14,Business,"Harvard University, USA",Isabel Williams,Public,2023
10.42.0.211-10.42.0.1-9221-53-17,Female,24,99.82,3.28,Arts,"Harvard University, USA",Cody Watson,Private,2023
10.42.0.211-77.234.44.79-39909-443-6,Male,19,94.87,2.54,Education,"Massachusetts Institute of Technology (MIT), USA",Doris Vinci,Public,2023
203.205.158.62-10.42.0.211-80-33404-6,Male,19,73.17,3.19,Engineering,"University of Oxford, UK",Bobby Christensen,Private,2023
198.105.244.11-10.42.0.151-80-57934-6,Female,20,81.15,3.36,Science,"Harvard University, USA",William Richardson,Private,2023
172.217.12.142-10.42.0.42-80-43798-6,Female,19,87.39,2.46,Business,"Harvard University, USA",Hester Avery,Public,2023
10.42.0.1-10.42.0.42-53-62484-17,Female,18,51.74,2.91,Science,"Harvard University, USA",Ruth Burns,Private,2023
10.42.0.211-104.244.43.99-49021-443-6,Male,22,94.75,2.38,Engineering,"Massachusetts Institute of Technology (MIT), USA",William Pitman,Private,2023
10.42.0.42-121.12.98.62-52182-80-6,Male,22,93.01,2.1,Science,"Massachusetts Institute of Technology (MIT), USA",Darrell Prendergast,Public,2023
216.58.219.238-10.42.0.42-443-58178-6,Male,21,72.87,2.76,Engineering,"Harvard University, USA",Manuel Helton,Private,2023
192.229.173.173-10.42.0.151-80-46804-6,Male,24,69.56,2.73,Arts,"California Institute of Technology (Caltech), USA",Rena Wild,Private,2023
172.217.10.138-10.42.0.211-443-43025-6,Male,19,63.65,3.99,Business,"Harvard University, USA",Marilyn Mahan,Public,2023
10.42.0.211-104.93.163.48-34924-80-6,Male,18,73.83,2.89,Engineering,"Harvard University, USA",David Coleman,Private,2023
192.229.173.173-10.42.0.42-443-42176-6,Female,21,52.22,2.67,Science,"Harvard University, USA",Steven Hille,Private,2023
151.101.1.134-10.42.0.151-443-35334-6,Male,20,92.61,3.16,Business,"University of Oxford, UK",Joyce Lashley,Private,2023
10.42.0.151-10.42.0.1-17427-53-17,Male,21,51.77,2.18,Arts,"Harvard University, USA",Christian Kim,Private,2023
151.101.21.63-10.42.0.211-443-59663-6,Male,21,66.45,3.92,Business,"Harvard University, USA",Manuel Strickland,Private,2023
10.42.0.151-23.67.1.79-50403-443-6,Female,19,96.58,3.27,Engineering,"California Institute of Technology (Caltech), USA",Erica Dilks,Private,2023
10.42.0.42-88.212.201.208-49654-443-6,Male,20,86.76,3.51,Arts,"Imperial College London, UK",Justin Gallant,Public,2023
172.217.10.138-10.42.0.151-443-40472-6,Male,21,64.07,2.34,Science,"University of Oxford, UK",Christopher Martin,Private,2023
180.149.136.247-10.42.0.42-80-49129-6,Female,18,62.63,2.82,Arts,"Harvard University, USA",Robert Ross,Private,2023
239.255.255.250-10.42.0.1-1900-43327-17,Male,18,50.25,2.85,Arts,"Harvard University, USA",Laurie Mcgee,Private,2023
182.254.5.234-10.42.0.211-80-47326-6,Male,22,84.79,3.64,Education,"Stanford University, USA",Carrie Bruner,Private,2023
10.42.0.211-104.192.110.245-38033-80-6,Male,20,52.44,2,Arts,"Stanford University, USA",Diana French,Private,2023
239.255.255.250-10.42.0.1-1900-44229-17,Male,20,76.63,2.6,Arts,"Harvard University, USA",Arthur Quezada,Public,2023
192.229.173.173-10.42.0.151-80-35897-6,Male,22,98.11,3.96,Business,"University of Oxford, UK",William Putnam,Public,2023
10.42.0.151-52.86.243.58-46983-443-6,Female,21,55.47,2.95,Science,"Harvard University, USA",Heidi Morrow,Private,2023
10.42.0.211-115.239.210.141-58976-443-6,Female,20,94.72,2.77,Business,"Massachusetts Institute of Technology (MIT), USA",Teofila Harris,Public,2023
172.217.12.142-10.42.0.151-443-40766-6,Female,18,99.57,2.24,Business,"University of Oxford, UK",Crystal Summy,Private,2023
157.240.2.25-10.42.0.211-443-59096-6,Male,18,53.08,3.95,Engineering,"Harvard University, USA",Brenda Gegenheimer,Private,2023
205.185.216.42-10.42.0.211-80-41824-6,Male,19,94.15,2.04,Business,"Harvard University, USA",Joshua Morgan,Public,2023
202.77.129.150-10.42.0.211-80-47908-6,Male,20,75.8,3.47,Education,"Stanford University, USA",Cynthia Avellino,Public,2023
172.217.12.174-10.42.0.151-443-36542-6,Female,21,95.33,3.54,Education,"Stanford University, USA",Michael Fairbanks,Private,2023
10.42.0.1-10.42.0.42-53-54335-17,Male,22,78.57,2.49,Engineering,"Stanford University, USA",Audrey Hollenbeck,Private,2023
172.217.10.77-10.42.0.42-443-58681-6,Male,22,83.11,3.34,Science,"Stanford University, USA",James Vazquez,Private,2023
10.42.0.211-10.42.0.1-1522-53-17,Female,21,77.19,2.19,Science,"Stanford University, USA",Carita Scott,Private,2023
182.22.65.140-10.42.0.151-443-37281-6,Male,24,93.22,2.51,Business,"Harvard University, USA",David Haden,Public,2023
10.42.0.211-77.234.44.201-43806-80-6,Female,23,86.7,3.58,Business,"Stanford University, USA",Richard Dickson,Private,2023
140.205.140.87-10.42.0.151-80-58824-6,Female,19,76.06,3.73,Business,"Stanford University, USA",Richard Soto,Private,2023
10.42.0.151-10.42.0.1-6365-53-17,Female,22,93.41,3.22,Science,"Harvard University, USA",Verda Barry,Public,2023
10.42.0.211-52.84.29.137-58302-443-6,Male,20,62.26,3.01,Arts,"Harvard University, USA",Charles Xiong,Private,2023
172.217.3.99-10.42.0.151-443-33150-6,Male,19,57.87,2.32,Education,"University of Oxford, UK",Jacqueline Watkins,Public,2023
151.101.1.140-10.42.0.211-443-43649-6,Male,20,58.02,2.13,Arts,"Stanford University, USA",Angel Barnes,Public,2023
151.101.21.140-10.42.0.211-443-56703-6,Male,24,66.7,2.24,Arts,"Massachusetts Institute of Technology (MIT), USA",Karla Williams,Public,2023
180.163.255.159-10.42.0.211-80-59933-6,Male,18,61.93,2.45,Science,"Harvard University, USA",Dorothy Cheng,Private,2023
10.42.0.151-104.192.108.27-49497-80-6,Male,19,96.5,2.68,Arts,"Harvard University, USA",Eric Rice,Public,2023
